model,location,target_type,weights,forecast_date
mech_ensemble,PL,Deaths,0.313138703904769,2021-05-03
semi_ensemble,CZ,Cases,0.53944276496188,2021-05-03
semi_ensemble,CZ,Deaths,0.341207556131276,2021-05-03
semi_ensemble,DE,Cases,0.345953063707066,2021-05-03
semi_ensemble,DE,Deaths,0.405618638217756,2021-05-03
semi_ensemble,FR,Cases,0.4222400387044,2021-05-03
semi_ensemble,FR,Deaths,0.172935387540254,2021-05-03
semi_ensemble,GB,Cases,0.427676998666413,2021-05-03
semi_ensemble,GB,Deaths,0.432923266804565,2021-05-03
semi_ensemble,PL,Cases,0.769567236774715,2021-05-03
semi_ensemble,PL,Deaths,0.474675780972919,2021-05-03
stat_ensemble,CZ,Deaths,0.418565079187995,2021-05-03
stat_ensemble,DE,Cases,0.242191118848227,2021-05-03
stat_ensemble,DE,Deaths,0.169814795275945,2021-05-03
stat_ensemble,FR,Cases,0.21467179251338,2021-05-03
stat_ensemble,FR,Deaths,0.641115047151085,2021-05-03
stat_ensemble,GB,Deaths,0.252431576903855,2021-05-03
stat_ensemble,PL,Deaths,0.212185515122312,2021-05-03
mech_ensemble,CZ,Cases,0.528516714540767,2021-05-10
mech_ensemble,CZ,Deaths,0.317939400464521,2021-05-10
mech_ensemble,DE,Cases,0.312501244134239,2021-05-10
mech_ensemble,DE,Deaths,0.406633816500001,2021-05-10
mech_ensemble,FR,Cases,0.418469722788082,2021-05-10
mech_ensemble,FR,Deaths,0.235181622598814,2021-05-10
mech_ensemble,GB,Cases,0.637936791474506,2021-05-10
mech_ensemble,GB,Deaths,0.366672915823997,2021-05-10
mech_ensemble,PL,Cases,0.264143162476464,2021-05-10
mech_ensemble,PL,Deaths,0.371365471788526,2021-05-10
semi_ensemble,CZ,Cases,0.471483285459233,2021-05-10
semi_ensemble,CZ,Deaths,0.352430764905854,2021-05-10
semi_ensemble,DE,Cases,0.249379203885349,2021-05-10
semi_ensemble,DE,Deaths,0.247679774422596,2021-05-10
semi_ensemble,FR,Cases,0.414840162660089,2021-05-10
semi_ensemble,FR,Deaths,0.166396249761552,2021-05-10
semi_ensemble,GB,Cases,0.362063208525495,2021-05-10
semi_ensemble,GB,Deaths,0.407928746677069,2021-05-10
semi_ensemble,PL,Cases,0.735856837523536,2021-05-10
semi_ensemble,PL,Deaths,0.532669310163652,2021-05-10
stat_ensemble,CZ,Deaths,0.329629834629625,2021-05-10
stat_ensemble,DE,Cases,0.438119551980412,2021-05-10
stat_ensemble,DE,Deaths,0.345686409077404,2021-05-10
stat_ensemble,FR,Cases,0.166690114551829,2021-05-10
stat_ensemble,FR,Deaths,0.598422127639634,2021-05-10
stat_ensemble,GB,Deaths,0.225398337498935,2021-05-10
stat_ensemble,PL,Deaths,0.0959652180478229,2021-05-10
mech_ensemble,CZ,Cases,0.435089432853743,2021-05-17
mech_ensemble,CZ,Deaths,0.361573125503271,2021-05-17
mech_ensemble,DE,Cases,0.249962441688284,2021-05-17
mech_ensemble,DE,Deaths,0.410198091142179,2021-05-17
mech_ensemble,FR,Cases,0.471884544262653,2021-05-17
mech_ensemble,FR,Deaths,0.288575385136915,2021-05-17
mech_ensemble,GB,Cases,0.56227540070706,2021-05-17
mech_ensemble,GB,Deaths,0.343473158200134,2021-05-17
mech_ensemble,PL,Cases,0.191635689715242,2021-05-17
mech_ensemble,PL,Deaths,0.404508998213526,2021-05-17
semi_ensemble,CZ,Cases,0.564910567146257,2021-05-17
semi_ensemble,CZ,Deaths,0.374743446460781,2021-05-17
semi_ensemble,DE,Cases,0.246211356903708,2021-05-17
semi_ensemble,DE,Deaths,0.201924237680915,2021-05-17
semi_ensemble,FR,Cases,0.406378515461508,2021-05-17
semi_ensemble,FR,Deaths,0.196056550560362,2021-05-17
semi_ensemble,GB,Cases,0.43772459929294,2021-05-17
semi_ensemble,GB,Deaths,0.41692151896199,2021-05-17
semi_ensemble,PL,Cases,0.808364310284758,2021-05-17
semi_ensemble,PL,Deaths,0.514652164030221,2021-05-17
stat_ensemble,CZ,Deaths,0.263683428035948,2021-05-17
stat_ensemble,DE,Cases,0.503826201408008,2021-05-17
stat_ensemble,DE,Deaths,0.387877671176906,2021-05-17
stat_ensemble,FR,Cases,0.121736940275839,2021-05-17
stat_ensemble,FR,Deaths,0.515368064302723,2021-05-17
stat_ensemble,GB,Deaths,0.239605322837875,2021-05-17
stat_ensemble,PL,Deaths,0.0808388377562535,2021-05-17
mech_ensemble,CZ,Cases,0.321193240298624,2021-05-24
mech_ensemble,CZ,Deaths,0.27609249058089,2021-05-24
mech_ensemble,DE,Cases,0.258897176441661,2021-05-24
mech_ensemble,DE,Deaths,0.410119598306643,2021-05-24
mech_ensemble,FR,Cases,0.324552639031628,2021-05-24
mech_ensemble,FR,Deaths,0.264412127848233,2021-05-24
mech_ensemble,GB,Cases,0.542123946594382,2021-05-24
mech_ensemble,GB,Deaths,0.284907402134085,2021-05-24
mech_ensemble,PL,Cases,0.19004005926994,2021-05-24
mech_ensemble,PL,Deaths,0.477518222491121,2021-05-24
semi_ensemble,CZ,Cases,0.678806759701376,2021-05-24
semi_ensemble,CZ,Deaths,0.367457799678722,2021-05-24
semi_ensemble,DE,Cases,0.309456622237746,2021-05-24
semi_ensemble,DE,Deaths,0.252277511410637,2021-05-24
semi_ensemble,FR,Cases,0.573293220376414,2021-05-24
semi_ensemble,FR,Deaths,0.353510532575047,2021-05-24
semi_ensemble,GB,Cases,0.457876053405618,2021-05-24
semi_ensemble,GB,Deaths,0.387549991135075,2021-05-24
semi_ensemble,PL,Cases,0.80995994073006,2021-05-24
semi_ensemble,PL,Deaths,0.421166611404438,2021-05-24
stat_ensemble,CZ,Deaths,0.356449709740388,2021-05-24
stat_ensemble,DE,Cases,0.431646201320593,2021-05-24
stat_ensemble,DE,Deaths,0.337602890282721,2021-05-24
stat_ensemble,FR,Cases,0.102154140591958,2021-05-24
stat_ensemble,FR,Deaths,0.38207733957672,2021-05-24
stat_ensemble,GB,Deaths,0.327542606730841,2021-05-24
stat_ensemble,PL,Deaths,0.10131516610444,2021-05-24
mech_ensemble,CZ,Cases,0.178329991139522,2021-05-31
mech_ensemble,CZ,Deaths,0.254772280691051,2021-05-31
mech_ensemble,DE,Cases,0.301001731796659,2021-05-31
mech_ensemble,DE,Deaths,0.448348213120794,2021-05-31
mech_ensemble,FR,Cases,0.373978789594589,2021-05-31
mech_ensemble,FR,Deaths,0.319363130941434,2021-05-31
mech_ensemble,GB,Cases,0.348512457516251,2021-05-31
mech_ensemble,GB,Deaths,0.344089618307956,2021-05-31
mech_ensemble,PL,Cases,0.170986918196848,2021-05-31
mech_ensemble,PL,Deaths,0.497007413453853,2021-05-31
semi_ensemble,CZ,Cases,0.425606099518122,2021-05-31
semi_ensemble,CZ,Deaths,0.359633317640196,2021-05-31
semi_ensemble,DE,Cases,0.399420935202635,2021-05-31
semi_ensemble,DE,Deaths,0.280434033149621,2021-05-31
semi_ensemble,FR,Cases,0.506154217971926,2021-05-31
semi_ensemble,FR,Deaths,0.351844182168732,2021-05-31
semi_ensemble,GB,Cases,0.337946579946529,2021-05-31
semi_ensemble,GB,Deaths,0.405537554524405,2021-05-31
semi_ensemble,PL,Cases,0.474789944649891,2021-05-31
semi_ensemble,PL,Deaths,0.357854979567685,2021-05-31
stat_ensemble,CZ,Cases,0.396063909342355,2021-05-31
stat_ensemble,CZ,Deaths,0.385594401668754,2021-05-31
stat_ensemble,DE,Cases,0.299577333000705,2021-05-31
stat_ensemble,DE,Deaths,0.271217753729585,2021-05-31
stat_ensemble,FR,Cases,0.119866992433485,2021-05-31
stat_ensemble,FR,Deaths,0.328792686889835,2021-05-31
stat_ensemble,GB,Cases,0.31354096253722,2021-05-31
stat_ensemble,GB,Deaths,0.250372827167639,2021-05-31
stat_ensemble,PL,Cases,0.354223137153262,2021-05-31
stat_ensemble,PL,Deaths,0.145137606978462,2021-05-31
mech_ensemble,CZ,Cases,0.177257798801106,2021-06-07
mech_ensemble,CZ,Deaths,0.248870132893421,2021-06-07
mech_ensemble,DE,Cases,0.312544456426863,2021-06-07
mech_ensemble,DE,Deaths,0.534712338238382,2021-06-07
mech_ensemble,FR,Cases,0.277044492457835,2021-06-07
mech_ensemble,FR,Deaths,0.310866185160339,2021-06-07
mech_ensemble,GB,Cases,0.317370531071968,2021-06-07
mech_ensemble,GB,Deaths,0.390203287158125,2021-06-07
mech_ensemble,PL,Cases,0.166357756995051,2021-06-07
mech_ensemble,PL,Deaths,0.366844833653825,2021-06-07
semi_ensemble,CZ,Cases,0.505522684961931,2021-06-07
