location,target_type,weights,model,forecast_date
GB,Cases,0,semi_ensemble,2021-05-03
GB,Deaths,1,semi_ensemble,2021-05-03
PL,Cases,1,semi_ensemble,2021-05-03
PL,Deaths,0.670113246639094,semi_ensemble,2021-05-03
CZ,Deaths,0.714285714285715,stat_ensemble,2021-05-03
DE,Cases,0.584480645858863,stat_ensemble,2021-05-03
DE,Deaths,0,stat_ensemble,2021-05-03
FR,Cases,0.0746645658035802,stat_ensemble,2021-05-03
FR,Deaths,1,stat_ensemble,2021-05-03
GB,Deaths,0,stat_ensemble,2021-05-03
PL,Deaths,0.283426593732587,stat_ensemble,2021-05-03
CZ,Cases,0.632470360512944,mech_ensemble,2021-05-10
CZ,Deaths,0.374045801526718,mech_ensemble,2021-05-10
DE,Cases,0,mech_ensemble,2021-05-10
DE,Deaths,0.509994711792702,mech_ensemble,2021-05-10
FR,Cases,0.521806314721281,mech_ensemble,2021-05-10
FR,Deaths,0,mech_ensemble,2021-05-10
GB,Cases,1,mech_ensemble,2021-05-10
GB,Deaths,0,mech_ensemble,2021-05-10
PL,Cases,0,mech_ensemble,2021-05-10
PL,Deaths,0.0201451150233424,mech_ensemble,2021-05-10
CZ,Cases,0.367529639487056,semi_ensemble,2021-05-10
CZ,Deaths,0.625954198473282,semi_ensemble,2021-05-10
DE,Cases,0.163660083348433,semi_ensemble,2021-05-10
DE,Deaths,0.049932428462307,semi_ensemble,2021-05-10
FR,Cases,0.478193685278719,semi_ensemble,2021-05-10
FR,Deaths,0,semi_ensemble,2021-05-10
GB,Cases,0,semi_ensemble,2021-05-10
GB,Deaths,0.975308641975309,semi_ensemble,2021-05-10
PL,Cases,1,semi_ensemble,2021-05-10
PL,Deaths,0.914411384217335,semi_ensemble,2021-05-10
CZ,Deaths,0,stat_ensemble,2021-05-10
DE,Cases,0.836339916651567,stat_ensemble,2021-05-10
DE,Deaths,0.440072859744991,stat_ensemble,2021-05-10
FR,Cases,0,stat_ensemble,2021-05-10
FR,Deaths,1,stat_ensemble,2021-05-10
GB,Deaths,0.0246913580246915,stat_ensemble,2021-05-10
PL,Deaths,0.0654435007593227,stat_ensemble,2021-05-10
CZ,Cases,0.30722751568673,mech_ensemble,2021-05-17
CZ,Deaths,0.385964912280703,mech_ensemble,2021-05-17
DE,Cases,0,mech_ensemble,2021-05-17
DE,Deaths,0.619140625,mech_ensemble,2021-05-17
