location,target_type,model,forecast_date,weights
DE,Deaths,stat_ensemble,2021-05-17,0.200189393939394
FR,Cases,stat_ensemble,2021-05-17,0.166666666666667
FR,Deaths,stat_ensemble,2021-05-17,0.611111111111111
GB,Deaths,stat_ensemble,2021-05-17,0.164141414141414
PL,Deaths,stat_ensemble,2021-05-17,0.146785109983079
CZ,Cases,mech_ensemble,2021-05-24,0.222222222222222
CZ,Deaths,mech_ensemble,2021-05-24,0.25
DE,Cases,mech_ensemble,2021-05-24,0.266666666666667
DE,Deaths,mech_ensemble,2021-05-24,0.792816091954023
FR,Cases,mech_ensemble,2021-05-24,0.166666666666667
FR,Deaths,mech_ensemble,2021-05-24,0.222222222222222
GB,Cases,mech_ensemble,2021-05-24,0.650667779632721
GB,Deaths,mech_ensemble,2021-05-24,0.222222222222222
PL,Cases,mech_ensemble,2021-05-24,0.270203042261122
PL,Deaths,mech_ensemble,2021-05-24,0.25
CZ,Cases,semi_ensemble,2021-05-24,0.666666666666667
CZ,Deaths,semi_ensemble,2021-05-24,0.430373831775701
DE,Cases,semi_ensemble,2021-05-24,0.133333333333333
DE,Deaths,semi_ensemble,2021-05-24,0.133333333333333
FR,Cases,semi_ensemble,2021-05-24,0.666666666666667
FR,Deaths,semi_ensemble,2021-05-24,0.28974358974359
GB,Cases,semi_ensemble,2021-05-24,0.224332220367279
GB,Deaths,semi_ensemble,2021-05-24,0.505952380952381
PL,Cases,semi_ensemble,2021-05-24,0.646463624405545
PL,Deaths,semi_ensemble,2021-05-24,0.543754972155927
CZ,Deaths,stat_ensemble,2021-05-24,0.319626168224299
DE,Cases,stat_ensemble,2021-05-24,0.6
DE,Deaths,stat_ensemble,2021-05-24,0.0738505747126437
FR,Cases,stat_ensemble,2021-05-24,0.166666666666667
FR,Deaths,stat_ensemble,2021-05-24,0.488034188034188
GB,Deaths,stat_ensemble,2021-05-24,0.271825396825397
PL,Deaths,stat_ensemble,2021-05-24,0.206245027844073
CZ,Cases,mech_ensemble,2021-05-31,0.25
CZ,Deaths,mech_ensemble,2021-05-31,0.3125
DE,Cases,mech_ensemble,2021-05-31,0.785714285714286
DE,Deaths,mech_ensemble,2021-05-31,0.815873015873016
FR,Cases,mech_ensemble,2021-05-31,0.276431588494884
FR,Deaths,mech_ensemble,2021-05-31,0.285714285714286
GB,Cases,mech_ensemble,2021-05-31,0.498504464285714
GB,Deaths,mech_ensemble,2021-05-31,0.25
PL,Cases,mech_ensemble,2021-05-31,0.272727272727273
PL,Deaths,mech_ensemble,2021-05-31,0.272727272727273
CZ,Cases,semi_ensemble,2021-05-31,0.625
CZ,Deaths,semi_ensemble,2021-05-31,0.30718085106383
DE,Cases,semi_ensemble,2021-05-31,0.107142857142857
DE,Deaths,semi_ensemble,2021-05-31,0.112698412698413
FR,Cases,semi_ensemble,2021-05-31,0.506500279993107
FR,Deaths,semi_ensemble,2021-05-31,0.431598062953995
GB,Cases,semi_ensemble,2021-05-31,0.358638392857143
GB,Deaths,semi_ensemble,2021-05-31,0.570652173913044
PL,Cases,semi_ensemble,2021-05-31,0.636363636363636
PL,Deaths,semi_ensemble,2021-05-31,0.485678704856787
CZ,Deaths,stat_ensemble,2021-05-31,0.380319148936171
DE,Cases,stat_ensemble,2021-05-31,0.107142857142857
DE,Deaths,stat_ensemble,2021-05-31,0.0714285714285714
FR,Cases,stat_ensemble,2021-05-31,0.217068131512009
FR,Deaths,stat_ensemble,2021-05-31,0.282687651331719
GB,Deaths,stat_ensemble,2021-05-31,0.179347826086957
PL,Deaths,stat_ensemble,2021-05-31,0.24159402241594
CZ,Cases,mech_ensemble,2021-06-07,0.222222222222222
CZ,Deaths,mech_ensemble,2021-06-07,0.25
DE,Cases,mech_ensemble,2021-06-07,0.341157728528732
DE,Deaths,mech_ensemble,2021-06-07,0.8
FR,Cases,mech_ensemble,2021-06-07,0.166666666666667
FR,Deaths,mech_ensemble,2021-06-07,0.259615384615385
GB,Cases,mech_ensemble,2021-06-07,0.197735188348206
GB,Deaths,mech_ensemble,2021-06-07,0.407407407407408
PL,Cases,mech_ensemble,2021-06-07,0.25
PL,Deaths,mech_ensemble,2021-06-07,0.25
CZ,Cases,semi_ensemble,2021-06-07,0.666666666666667
CZ,Deaths,semi_ensemble,2021-06-07,0.446747967479675
DE,Cases,semi_ensemble,2021-06-07,0.125
DE,Deaths,semi_ensemble,2021-06-07,0.133333333333333
FR,Cases,semi_ensemble,2021-06-07,0.166666666666667
FR,Deaths,semi_ensemble,2021-06-07,0.615384615384615
GB,Cases,semi_ensemble,2021-06-07,0.410382752951292
GB,Deaths,semi_ensemble,2021-06-07,0.481481481481481
PL,Cases,semi_ensemble,2021-06-07,0.521632981024785
PL,Deaths,semi_ensemble,2021-06-07,0.564920730483645
CZ,Cases,stat_ensemble,2021-06-07,0.111111111111111
CZ,Deaths,stat_ensemble,2021-06-07,0.303252032520325
DE,Cases,stat_ensemble,2021-06-07,0.533842271471268
DE,Deaths,stat_ensemble,2021-06-07,0.0666666666666667
FR,Cases,stat_ensemble,2021-06-07,0.666666666666667
FR,Deaths,stat_ensemble,2021-06-07,0.125
GB,Cases,stat_ensemble,2021-06-07,0.391882058700502
GB,Deaths,stat_ensemble,2021-06-07,0.111111111111111
PL,Cases,stat_ensemble,2021-06-07,0.228367018975215
PL,Deaths,stat_ensemble,2021-06-07,0.185079269516355
CZ,Cases,mech_ensemble,2021-06-14,0.222222222222222
CZ,Deaths,mech_ensemble,2021-06-14,0.315196548418025
DE,Cases,mech_ensemble,2021-06-14,0.380203322429607
DE,Deaths,mech_ensemble,2021-06-14,0.787804878048781
FR,Cases,mech_ensemble,2021-06-14,0.353577251679384
FR,Deaths,mech_ensemble,2021-06-14,0.698863636363637
GB,Cases,mech_ensemble,2021-06-14,0.1875
GB,Deaths,mech_ensemble,2021-06-14,0.702222222222222
PL,Cases,mech_ensemble,2021-06-14,0.227272727272727
PL,Deaths,mech_ensemble,2021-06-14,0.279110239081757
CZ,Cases,semi_ensemble,2021-06-14,0.666666666666667
CZ,Deaths,semi_ensemble,2021-06-14,0.4035953978907
DE,Cases,semi_ensemble,2021-06-14,0.125
DE,Deaths,semi_ensemble,2021-06-14,0.133333333333333
FR,Cases,semi_ensemble,2021-06-14,0.166666666666667
FR,Deaths,semi_ensemble,2021-06-14,0.125
GB,Cases,semi_ensemble,2021-06-14,0.407890888445393
GB,Deaths,semi_ensemble,2021-06-14,0.186666666666667
