model,target_type,location,forecast_date,weights
ILM-EKF,Deaths,GB,2021-04-12,0.0809870598807239
LANL-GrowthRate,Deaths,GB,2021-04-12,0.0809870598807239
RobertWalraven-ESG,Deaths,GB,2021-04-12,0.454744182882597
UMass-MechBayes,Deaths,GB,2021-04-12,0.0604589274950463
UMass-SemiMech,Deaths,GB,2021-04-12,0.0604589274950463
USC-SIkJalpha,Deaths,GB,2021-04-12,0.0604589274950463
bisop-seirfilterlite,Cases,PL,2021-04-12,0.06313775357227
DSMPG-bayes,Cases,PL,2021-04-12,0.06313775357227
epiforecasts-EpiNow2,Cases,PL,2021-04-12,0.139508931248528
IEM_Health-CovidProject,Cases,PL,2021-04-12,0.06313775357227
ILM-EKF,Cases,PL,2021-04-12,0.139508931248528
ITWW-county_repro,Cases,PL,2021-04-12,0.139508931248528
LANL-GrowthRate,Cases,PL,2021-04-12,0.139508931248528
MIMUW-StochSEIR,Cases,PL,2021-04-12,0.06313775357227
MIT_CovidAnalytics-DELPHI,Cases,PL,2021-04-12,0.06313775357227
UMass-SemiMech,Cases,PL,2021-04-12,0.06313775357227
USC-SIkJalpha,Cases,PL,2021-04-12,0.06313775357227
bisop-seirfilterlite,Deaths,PL,2021-04-12,0.0526207676707569
epiforecasts-EpiNow2,Deaths,PL,2021-04-12,0.0796066840732283
IEM_Health-CovidProject,Deaths,PL,2021-04-12,0.0526207676707569
ILM-EKF,Deaths,PL,2021-04-12,0.0796066840732283
ITWW-county_repro,Deaths,PL,2021-04-12,0.0796066840732283
LANL-GrowthRate,Deaths,PL,2021-04-12,0.0796066840732283
MIMUW-StochSEIR,Deaths,PL,2021-04-12,0.0526207676707569
MIT_CovidAnalytics-DELPHI,Deaths,PL,2021-04-12,0.0526207676707569
RobertWalraven-ESG,Deaths,PL,2021-04-12,0.313227890011789
UMass-MechBayes,Deaths,PL,2021-04-12,0.0526207676707569
UMass-SemiMech,Deaths,PL,2021-04-12,0.0526207676707569
USC-SIkJalpha,Deaths,PL,2021-04-12,0.0526207676707569
bisop-seirfilter,Cases,CZ,2021-04-19,0.0563039679027229
bisop-seirfilterlite,Cases,CZ,2021-04-19,0.0563039679027229
DSMPG-bayes,Cases,CZ,2021-04-19,0.0563039679027229
epiforecasts-EpiNow2,Cases,CZ,2021-04-19,0.20195740822698
IEM_Health-CovidProject,Cases,CZ,2021-04-19,0.0563039679027229
ILM-EKF,Cases,CZ,2021-04-19,0.20195740822698
LANL-GrowthRate,Cases,CZ,2021-04-19,0.20195740822698
MUNI_DMS-SEIAR,Cases,CZ,2021-04-19,0.0563039679027229
UMass-SemiMech,Cases,CZ,2021-04-19,0.0563039679027229
USC-SIkJalpha,Cases,CZ,2021-04-19,0.0563039679027229
bisop-seirfilter,Deaths,CZ,2021-04-19,0.0456500393472635
bisop-seirfilterlite,Deaths,CZ,2021-04-19,0.0456500393472635
epiforecasts-EpiNow2,Deaths,CZ,2021-04-19,0.167100079141746
IEM_Health-CovidProject,Deaths,CZ,2021-04-19,0.0456500393472635
ILM-EKF,Deaths,CZ,2021-04-19,0.167100079141746
LANL-GrowthRate,Deaths,CZ,2021-04-19,0.167100079141746
MUNI_DMS-SEIAR,Deaths,CZ,2021-04-19,0.0456500393472635
RobertWalraven-ESG,Deaths,CZ,2021-04-19,0.179149487143917
UMass-MechBayes,Deaths,CZ,2021-04-19,0.0456500393472635
UMass-SemiMech,Deaths,CZ,2021-04-19,0.0456500393472635
USC-SIkJalpha,Deaths,CZ,2021-04-19,0.0456500393472635
bisop-seirfilterlite,Cases,DE,2021-04-19,0.0307548985097831
DSMPG-bayes,Cases,DE,2021-04-19,0.0307548985097831
epiforecasts-EpiNow2,Cases,DE,2021-04-19,0.0841119821143279
FIAS_FZJ-Epi1Ger,Cases,DE,2021-04-19,0.0307548985097831
IEM_Health-CovidProject,Cases,DE,2021-04-19,0.0307548985097831
ILM-EKF,Cases,DE,2021-04-19,0.0841119821143279
itwm-dSEIR,Cases,DE,2021-04-19,0.0307548985097831
ITWW-county_repro,Cases,DE,2021-04-19,0.0841119821143279
Karlen-pypm,Cases,DE,2021-04-19,0.0307548985097831
LANL-GrowthRate,Cases,DE,2021-04-19,0.0841119821143279
LeipzigIMISE-SECIR,Cases,DE,2021-04-19,0.0307548985097831
MIT_CovidAnalytics-DELPHI,Cases,DE,2021-04-19,0.0307548985097831
UMass-SemiMech,Cases,DE,2021-04-19,0.0307548985097831
UNIPV-BayesINGARCHX,Cases,DE,2021-04-19,0.356003086444858
USC-SIkJalpha,Cases,DE,2021-04-19,0.0307548985097831
bisop-seirfilterlite,Deaths,DE,2021-04-19,0.0405556409423941
epiforecasts-EpiNow2,Deaths,DE,2021-04-19,0.0720058750502337
