model,target_type,location,forecast_date,weights
bisop-seirfilter,Cases,CZ,2021-04-12,0.0623748063675398
bisop-seirfilterlite,Cases,CZ,2021-04-12,0.0623748063675398
DSMPG-bayes,Cases,CZ,2021-04-12,0.0623748063675398
epiforecasts-EpiNow2,Cases,CZ,2021-04-12,0.187792118475741
IEM_Health-CovidProject,Cases,CZ,2021-04-12,0.0623748063675398
ILM-EKF,Cases,CZ,2021-04-12,0.187792118475741
LANL-GrowthRate,Cases,CZ,2021-04-12,0.187792118475741
MUNI_DMS-SEIAR,Cases,CZ,2021-04-12,0.0623748063675398
UMass-SemiMech,Cases,CZ,2021-04-12,0.0623748063675398
USC-SIkJalpha,Cases,CZ,2021-04-12,0.0623748063675398
bisop-seirfilter,Deaths,CZ,2021-04-12,0.0413548235140858
bisop-seirfilterlite,Deaths,CZ,2021-04-12,0.0413548235140858
epiforecasts-EpiNow2,Deaths,CZ,2021-04-12,0.178526872001646
IEM_Health-CovidProject,Deaths,CZ,2021-04-12,0.0413548235140858
ILM-EKF,Deaths,CZ,2021-04-12,0.178526872001646
LANL-GrowthRate,Deaths,CZ,2021-04-12,0.178526872001646
MUNI_DMS-SEIAR,Deaths,CZ,2021-04-12,0.0413548235140858
RobertWalraven-ESG,Deaths,CZ,2021-04-12,0.17493561939646
UMass-MechBayes,Deaths,CZ,2021-04-12,0.0413548235140858
UMass-SemiMech,Deaths,CZ,2021-04-12,0.0413548235140858
USC-SIkJalpha,Deaths,CZ,2021-04-12,0.0413548235140858
bisop-seirfilterlite,Cases,DE,2021-04-12,0.0306380073486403
DSMPG-bayes,Cases,DE,2021-04-12,0.0306380073486403
epiforecasts-EpiNow2,Cases,DE,2021-04-12,0.0863118282857767
FIAS_FZJ-Epi1Ger,Cases,DE,2021-04-12,0.0306380073486403
IEM_Health-CovidProject,Cases,DE,2021-04-12,0.0306380073486403
ILM-EKF,Cases,DE,2021-04-12,0.0863118282857767
itwm-dSEIR,Cases,DE,2021-04-12,0.0306380073486403
ITWW-county_repro,Cases,DE,2021-04-12,0.0863118282857767
Karlen-pypm,Cases,DE,2021-04-12,0.0306380073486403
LANL-GrowthRate,Cases,DE,2021-04-12,0.0863118282857767
LeipzigIMISE-SECIR,Cases,DE,2021-04-12,0.0306380073486403
MIT_CovidAnalytics-DELPHI,Cases,DE,2021-04-12,0.0306380073486403
UMass-SemiMech,Cases,DE,2021-04-12,0.0306380073486403
UNIPV-BayesINGARCHX,Cases,DE,2021-04-12,0.34837261337049
USC-SIkJalpha,Cases,DE,2021-04-12,0.0306380073486403
bisop-seirfilterlite,Deaths,DE,2021-04-12,0.0386209518629076
epiforecasts-EpiNow2,Deaths,DE,2021-04-12,0.0666771670201845
FIAS_FZJ-Epi1Ger,Deaths,DE,2021-04-12,0.0386209518629076
IEM_Health-CovidProject,Deaths,DE,2021-04-12,0.0386209518629076
ILM-EKF,Deaths,DE,2021-04-12,0.0666771670201845
itwm-dSEIR,Deaths,DE,2021-04-12,0.0386209518629076
ITWW-county_repro,Deaths,DE,2021-04-12,0.0666771670201845
Karlen-pypm,Deaths,DE,2021-04-12,0.0386209518629076
LANL-GrowthRate,Deaths,DE,2021-04-12,0.0666771670201845
LeipzigIMISE-SECIR,Deaths,DE,2021-04-12,0.0386209518629076
MIT_CovidAnalytics-DELPHI,Deaths,DE,2021-04-12,0.0386209518629076
RobertWalraven-ESG,Deaths,DE,2021-04-12,0.347081813290186
UMass-MechBayes,Deaths,DE,2021-04-12,0.0386209518629076
UMass-SemiMech,Deaths,DE,2021-04-12,0.0386209518629076
USC-SIkJalpha,Deaths,DE,2021-04-12,0.0386209518629076
bisop-seirfilterlite,Cases,FR,2021-04-12,0.071515083211008
DSMPG-bayes,Cases,FR,2021-04-12,0.071515083211008
epiforecasts-EpiNow2,Cases,FR,2021-04-12,0.119107503410844
IEM_Health-CovidProject,Cases,FR,2021-04-12,0.071515083211008
ILM-EKF,Cases,FR,2021-04-12,0.119107503410844
LANL-GrowthRate,Cases,FR,2021-04-12,0.119107503410844
UMass-SemiMech,Cases,FR,2021-04-12,0.071515083211008
UNIPV-BayesINGARCHX,Cases,FR,2021-04-12,0.285102073712427
USC-SIkJalpha,Cases,FR,2021-04-12,0.071515083211008
bisop-seirfilterlite,Deaths,FR,2021-04-12,0.077545279208843
epiforecasts-EpiNow2,Deaths,FR,2021-04-12,0.115833587132887
IEM_Health-CovidProject,Deaths,FR,2021-04-12,0.077545279208843
