model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
mean_ensemble,CZ,Cases,2021-03-15,1,4395.84157608696,3598.74918478261,0,797.092391304348,0.223478260869565,0.3,6261.625,2021-03-20
mean_ensemble,DE,Cases,2021-03-15,1,7050.69742474916,3560.69742474916,3490,0,-0.0373913043478261,-0.6,13680.1538461538,2021-03-20
mean_ensemble,FR,Cases,2021-03-15,1,21119.4469021739,7593.51211956522,13525.9347826087,0,-0.124347826086957,-0.7,38746.75,2021-03-20
mean_ensemble,GB,Cases,2021-03-15,1,1734.65869565217,1569.21666666667,165.442028985507,0,0.310434782608696,-0.2,1923.5,2021-03-20
mean_ensemble,PL,Cases,2021-03-15,1,11106.0967588933,7046.46434782609,4059.63241106719,0,0.0495652173913044,-0.5,19130.2727272727,2021-03-20
mean_ensemble,CZ,Deaths,2021-03-15,1,58.6084239130435,46.0703804347826,0,12.5380434782609,0.136521739130435,0.4,92.125,2021-03-20
mean_ensemble,DE,Deaths,2021-03-15,1,89.9795652173913,80.5302898550725,0,9.44927536231884,0.310434782608696,0.2,103.166666666667,2021-03-20
mean_ensemble,FR,Deaths,2021-03-15,1,88.718198757764,87.3827950310559,0,1.33540372670808,0.397391304347826,0.1,30.7142857142858,2021-03-20
mean_ensemble,GB,Deaths,2021-03-15,1,69.5885093167702,56.3835403726708,0,13.2049689440994,0.223478260869565,0.3,103.714285714286,2021-03-20
mean_ensemble,PL,Deaths,2021-03-15,1,127.230471014493,121.81018115942,0,5.42028985507246,0.310434782608696,0.2,87.3333333333335,2021-03-20
mean_ensemble,CZ,Cases,2021-03-15,2,9204.66260869565,5251.39086956522,0,3953.27173913044,-0.0373913043478261,0.6,16187.5,2021-03-27
mean_ensemble,DE,Cases,2021-03-15,2,17963.4998327759,6096.51321070234,11866.9866220736,0,-0.211304347826087,-0.8,33785.7692307692,2021-03-27
mean_ensemble,FR,Cases,2021-03-15,2,46764.3308152174,10603.809076087,36160.5217391304,0,-0.298260869565217,-0.9,80236.25,2021-03-27
mean_ensemble,GB,Cases,2021-03-15,2,3082.73927536232,2313.82623188406,768.913043478261,0,0.136521739130435,-0.4,5072.66666666666,2021-03-27
mean_ensemble,PL,Cases,2021-03-15,2,16076.1859683794,10744.8618577075,5331.32411067194,0,0.0495652173913044,-0.5,27188.2727272727,2021-03-27
mean_ensemble,CZ,Deaths,2021-03-15,2,167.998695652174,61.4660869565218,0,106.532608695652,-0.211304347826087,0.8,302.75,2021-03-27
mean_ensemble,DE,Deaths,2021-03-15,2,150.950289855072,102.287246376812,0,48.6630434782609,0.0495652173913044,0.5,267.083333333333,2021-03-27
mean_ensemble,FR,Deaths,2021-03-15,2,276.89149068323,108.512608695652,168.378881987578,0,-0.124347826086957,-0.7,512.142857142857,2021-03-27
mean_ensemble,GB,Deaths,2021-03-15,2,76.1224223602485,56.4454037267081,0,19.6770186335404,0.136521739130435,0.4,124.571428571429,2021-03-27
mean_ensemble,PL,Deaths,2021-03-15,2,196.533731884058,186.979384057971,0,9.55434782608696,0.310434782608696,0.2,149.75,2021-03-27
mean_ensemble,CZ,Cases,2021-03-15,3,14185.8993478261,7004.60043478261,0,7181.29891304348,-0.124347826086957,0.7,24174.625,2021-04-03
mean_ensemble,DE,Cases,2021-03-15,3,10309.6989632107,10247.8461204013,0,61.8528428093648,0.397391304347826,0.1,1422.61538461539,2021-04-03
mean_ensemble,FR,Cases,2021-03-15,3,26990.0285326087,13925.84375,13064.1847826087,0,-0.0373913043478261,-0.6,50221.75,2021-04-03
mean_ensemble,GB,Cases,2021-03-15,3,3504.59557971015,3182.82746376812,0,321.768115942029,0.223478260869565,0.3,3689,2021-04-03
mean_ensemble,PL,Cases,2021-03-15,3,14793.1361264822,14389.4128063241,403.723320158102,0,0.397391304347826,-0.1,9285.63636363635,2021-04-03
mean_ensemble,CZ,Deaths,2021-03-15,3,255.453804347826,79.8451086956522,0,175.608695652174,-0.298260869565217,0.9,438.25,2021-04-03
mean_ensemble,DE,Deaths,2021-03-15,3,251.540869565217,131.069855072464,0,120.471014492754,-0.0373913043478261,0.6,460.333333333333,2021-04-03
mean_ensemble,FR,Deaths,2021-03-15,3,157.381428571429,133.536708074534,23.8447204968944,0,0.223478260869565,-0.3,196.142857142857,2021-04-03
mean_ensemble,GB,Deaths,2021-03-15,3,132.260745341615,59.9626086956522,0,72.2981366459627,-0.298260869565217,0.9,219.714285714286,2021-04-03
mean_ensemble,PL,Deaths,2021-03-15,3,245.0775,236.12097826087,0,8.95652173913046,0.310434782608696,0.2,172.333333333334,2021-04-03
mean_ensemble,CZ,Cases,2021-03-15,4,19196.992826087,9100.22108695652,0,10096.7717391304,-0.211304347826087,0.8,30187,2021-04-10
