model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
semi_ensemble,CZ,Deaths,2021-11-01,2,57.8626086956522,48.6886956521739,9.17391304347826,0,0.223478260869565,-0.3,77,2021-11-13
semi_ensemble,DE,Deaths,2021-11-01,2,108.89,105.93347826087,2.95652173913043,0,0.310434782608696,-0.2,64,2021-11-13
semi_ensemble,FR,Deaths,2021-11-01,2,30.1347826086957,29.8304347826087,0,0.304347826086957,0.397391304347826,0.1,7,2021-11-13
semi_ensemble,GB,Deaths,2021-11-01,2,154.131739130435,153.696956521739,0,0.434782608695652,0.397391304347826,0.1,10,2021-11-13
semi_ensemble,PL,Deaths,2021-11-01,2,243.778695652174,125.17,0,118.608695652174,-0.124347826086957,0.7,432,2021-11-13
semi_ensemble,CZ,Cases,2021-11-01,3,40979.6539130435,14149.827826087,0,26829.8260869565,-0.298260869565217,0.9,69716,2021-11-20
semi_ensemble,DE,Cases,2021-11-01,3,33758.2760869565,33498.0152173913,0,260.260869565217,0.397391304347826,0.1,5986,2021-11-20
semi_ensemble,FR,Cases,2021-11-01,3,36308.2730434783,5805.22956521739,30503.0434782609,0,-0.298260869565217,-0.9,60814,2021-11-20
semi_ensemble,GB,Cases,2021-11-01,3,39034.2686956522,25419.0947826087,13615.1739130435,0,0.0495652173913044,-0.5,71109,2021-11-20
semi_ensemble,PL,Cases,2021-11-01,3,65907.9239130435,20833.5760869565,0,45074.347826087,-0.298260869565217,0.9,110076,2021-11-20
semi_ensemble,CZ,Deaths,2021-11-01,3,96.6226086956522,91.144347826087,0,5.47826086956522,0.310434782608696,0.2,74,2021-11-20
semi_ensemble,DE,Deaths,2021-11-01,3,175.301304347826,169.170869565217,0,6.1304347826087,0.310434782608696,0.2,109,2021-11-20
semi_ensemble,FR,Deaths,2021-11-01,3,47.3747826086957,36.7660869565217,10.6086956521739,0,0.136521739130435,-0.4,74,2021-11-20
semi_ensemble,GB,Deaths,2021-11-01,3,182.193043478261,180.671304347826,0,1.52173913043478,0.397391304347826,0.1,35,2021-11-20
semi_ensemble,PL,Deaths,2021-11-01,3,375.007391304348,240.963913043478,0,134.04347826087,0.0495652173913044,0.5,633,2021-11-20
semi_ensemble,CZ,Cases,2021-11-01,4,103041.80173913,33747.8452173913,0,69293.9565217391,-0.298260869565217,0.9,168247,2021-11-27
semi_ensemble,DE,Cases,2021-11-01,4,71496.26,65248.7817391304,0,6247.47826086957,0.223478260869565,0.3,69804,2021-11-27
semi_ensemble,FR,Cases,2021-11-01,4,78472.557826087,9167.07956521739,69305.4782608696,0,-0.385217391304348,-0.95,125082,2021-11-27
semi_ensemble,GB,Cases,2021-11-01,4,59339.1108695652,32566.502173913,26772.6086956522,0,0.0495652173913044,-0.5,114912,2021-11-27
semi_ensemble,PL,Cases,2021-11-01,4,163173.249130435,48938.3795652174,0,114234.869565217,-0.385217391304348,0.95,259818,2021-11-27
semi_ensemble,CZ,Deaths,2021-11-01,4,256.799565217391,175.712608695652,0,81.0869565217391,0.0495652173913044,0.5,401,2021-11-27
