model,location,target_type,forecast_date,horizon,interval_score,dispersion,underprediction,overprediction,coverage_deviation,bias,ae_median,target_end_date
median_ensemble,GB,Deaths,2021-03-15,4,58.8517391304348,43.33,0,15.5217391304348,0.0495652173913044,0.5,77,2021-04-10
median_ensemble,PL,Deaths,2021-03-15,4,312.15,279.823913043478,32.3260869565217,0,0.223478260869565,-0.3,305.5,2021-04-10
median_ensemble,CZ,Cases,2021-03-22,1,8214.97043478261,3359.60086956522,0,4855.36956521739,-0.124347826086957,0.7,14785.5,2021-03-27
median_ensemble,DE,Cases,2021-03-22,1,5187.20369565217,4054.1602173913,1133.04347826087,0,0.223478260869565,-0.3,7772,2021-03-27
median_ensemble,FR,Cases,2021-03-22,1,46270.3082608696,9979.19956521739,36291.1086956522,0,-0.298260869565217,-0.9,85686.5,2021-03-27
median_ensemble,GB,Cases,2021-03-22,1,1398.28391304348,1234.87086956522,163.413043478261,0,0.310434782608696,-0.2,1785.5,2021-03-27
median_ensemble,PL,Cases,2021-03-22,1,5211.29217391304,5136.2052173913,0,75.0869565217391,0.397391304347826,0.1,1727,2021-03-27
median_ensemble,CZ,Deaths,2021-03-22,1,126.019347826087,48.019347826087,0,78,-0.211304347826087,0.8,226,2021-03-27
median_ensemble,DE,Deaths,2021-03-22,1,96.7497826086957,59.2280434782609,0,37.5217391304348,0.0495652173913044,0.5,157,2021-03-27
median_ensemble,FR,Deaths,2021-03-22,1,356.76347826087,103.198260869565,253.565217391304,0,-0.298260869565217,-0.9,594,2021-03-27
median_ensemble,GB,Deaths,2021-03-22,1,50.3913043478261,31,0,19.3913043478261,-0.124347826086957,0.7,64,2021-03-27
median_ensemble,PL,Deaths,2021-03-22,1,125.836956521739,103.945652173913,21.8913043478261,0,0.223478260869565,-0.3,196.5,2021-03-27
median_ensemble,CZ,Cases,2021-03-22,2,13245.6276086957,4930.25804347826,0,8315.36956521739,-0.211304347826087,0.8,22137.5,2021-04-03
median_ensemble,DE,Cases,2021-03-22,2,26184.6184782609,7859.61847826087,0,18325,-0.298260869565217,0.9,45477,2021-04-03
median_ensemble,FR,Cases,2021-03-22,2,25206.4476086957,14832.0997826087,10374.347826087,0,0.0495652173913044,-0.5,50799,2021-04-03
median_ensemble,GB,Cases,2021-03-22,2,4310.14586956522,1753.10239130435,0,2557.04347826087,-0.298260869565217,0.9,6459,2021-04-03
median_ensemble,PL,Cases,2021-03-22,2,20361.1847826087,11304.2717391304,0,9056.91304347826,-0.124347826086957,0.7,27069,2021-04-03
median_ensemble,CZ,Deaths,2021-03-22,2,197.929347826087,54.0597826086957,0,143.869565217391,-0.298260869565217,0.9,312,2021-04-03
median_ensemble,DE,Deaths,2021-03-22,2,281.670434782609,86.844347826087,0,194.826086956522,-0.298260869565217,0.9,479,2021-04-03
median_ensemble,FR,Deaths,2021-03-22,2,120.791739130435,111.22652173913,9.56521739130435,0,0.310434782608696,-0.2,98,2021-04-03
median_ensemble,GB,Deaths,2021-03-22,2,109.417826086957,35.07,0,74.3478260869565,-0.559130434782609,1,126,2021-04-03
median_ensemble,PL,Deaths,2021-03-22,2,202.385652173913,196.494347826087,0,5.89130434782609,0.310434782608696,0.2,108.5,2021-04-03
median_ensemble,CZ,Cases,2021-03-22,3,16043.6376086957,6077.02891304348,0,9966.60869565217,-0.211304347826087,0.8,26812,2021-04-10
