model,target_type,location,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.01,13541.7062254105,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.01,463.96223443305,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.01,7118.94995209533,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.01,329.99564481232,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.01,3993.30663881621,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.01,189.767368786773,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.01,2162.23698281814,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.01,93.524379786267,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.025,14583.5355266571,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.025,495.612413823385,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.025,8100.24422326062,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.025,358.173768489721,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.025,4712.9911428993,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.025,214.149647099923,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.025,2779.20132338718,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.025,118.975400163819,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.05,15513.9295818784,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.05,522.15252108157,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.05,9320.0684435044,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.05,385.039046437524,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.05,5644.30538011691,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.05,240.972904460827,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.05,3566.8990034503,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.05,143.512533272628,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.1,16683.0858459525,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.1,551.214674411932,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.1,10729.2896867383,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.1,413.371334391431,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.1,7107.33173207699,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.1,272.495641052157,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.1,4694.59753804816,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.1,172.35018715101,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.15,17535.9707726824,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.15,572.410859275339,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.15,11771.7593334952,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.15,433.303973365333,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.15,8058.99118910492,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.15,299.138703178204,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.15,5405.72111046004,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.15,195.695490584092,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.2,18282.3503932244,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.2,589.441245421369,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.2,12587.6519048322,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.2,448.004143114912,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.2,8525.80349206797,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.2,317.016306086031,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.2,5938.58139429935,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.2,218.805562716242,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.25,18891.1049574701,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.25,604.416595501323,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.25,13316.5368315621,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.25,460.52618918709,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.25,8969.25528600662,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.25,329.116815334766,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.25,6534.33721724436,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.25,235.05104741974,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.3,19410.3312817068,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.3,617.403580022148,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.3,13995.6892733326,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.3,472.403792094917,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.3,9402.67735605186,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.3,340.39475774175,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.3,6944.12744092103,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.3,242.666485476366,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.35,20407.7661235675,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.35,630.856884029925,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.35,14720.7381087436,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.35,480.748405008846,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.35,10434.3346998458,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.35,351.139019635684,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.35,7813.20006468788,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.35,253.423072330324,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.4,20882.1113433778,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.4,642.733105899448,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.4,15284.8302481926,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.4,490.547702968856,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.4,10980.9656916796,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.4,360.539359134841,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.4,8346.89050430852,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.4,261.725664657353,4,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-17,22369,10591323,2021-04-12,0.45,21346.7576244258,1,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-17,662,10591323,2021-04-12,0.45,655.186409907224,1,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-04-24,17727,10591323,2021-04-12,0.45,15921.9712230526,2,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-04-24,524,10591323,2021-04-12,0.45,502.622871778394,2,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-01,14864,10591323,2021-04-12,0.45,11538.046364218,3,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-01,396,10591323,2021-04-12,0.45,375.716101773938,3,4,ensemble,1
weighted.mean_ensemble,Cases,CZ,2021-05-08,11403,10591323,2021-04-12,0.45,8914.88200516674,4,4,ensemble,1
weighted.mean_ensemble,Deaths,CZ,2021-05-08,331,10591323,2021-04-12,0.45,279.211426368614,4,4,ensemble,1
