model,target_type,location,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.01,71971.2413942574,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.01,717.846885941953,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.01,57888.710026079,2,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-24,1639,82695000,2021-04-12,0.01,618.158570359621,2,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-01,132607,82695000,2021-04-12,0.01,45321.1283540777,3,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-01,1597,82695000,2021-04-12,0.01,566.007452168912,3,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-08,106987,82695000,2021-04-12,0.01,34459.6338775233,4,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-08,1582,82695000,2021-04-12,0.01,512.237251983658,4,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.025,77762.1791271575,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.025,801.063406050221,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.025,64096.5284036926,2,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-24,1639,82695000,2021-04-12,0.025,727.813732408179,2,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-01,132607,82695000,2021-04-12,0.025,52467.2394806056,3,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-01,1597,82695000,2021-04-12,0.025,624.669021767559,3,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-08,106987,82695000,2021-04-12,0.025,42298.8703410989,4,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-08,1582,82695000,2021-04-12,0.025,573.591514375258,4,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.05,82669.2700990812,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.05,886.632220568215,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.05,70275.3872883132,2,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-24,1639,82695000,2021-04-12,0.05,825.726373412779,2,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-01,132607,82695000,2021-04-12,0.05,59624.2803321092,3,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-01,1597,82695000,2021-04-12,0.05,691.922756347883,3,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-08,106987,82695000,2021-04-12,0.05,50251.6023856096,4,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-08,1582,82695000,2021-04-12,0.05,630.710554293223,4,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.1,89644.3686883825,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.1,981.981325915145,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.1,79096.3787979467,2,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-24,1639,82695000,2021-04-12,0.1,945.85638541529,2,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-01,132607,82695000,2021-04-12,0.1,69763.4719097011,3,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-01,1597,82695000,2021-04-12,0.1,834.290230746992,3,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-08,106987,82695000,2021-04-12,0.1,61519.7524314183,4,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-08,1582,82695000,2021-04-12,0.1,705.987082542386,4,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.15,94995.7626874949,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.15,1040.76441844319,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.15,86042.6160131049,2,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-24,1639,82695000,2021-04-12,0.15,1026.12299484454,2,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-01,132607,82695000,2021-04-12,0.15,78363.4014675866,3,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-01,1597,82695000,2021-04-12,0.15,933.242879654265,3,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-08,106987,82695000,2021-04-12,0.15,70863.0579883585,4,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-08,1582,82695000,2021-04-12,0.15,806.762783870315,4,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.2,99616.4732826669,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.2,1089.41888706004,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.2,92420.9527301032,2,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-24,1639,82695000,2021-04-12,0.2,1088.56605017895,2,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-01,132607,82695000,2021-04-12,0.2,86172.0216764804,3,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-01,1597,82695000,2021-04-12,0.2,1012.40699540825,3,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-05-08,106987,82695000,2021-04-12,0.2,80111.3496769464,4,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-05-08,1582,82695000,2021-04-12,0.2,902.378340191376,4,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-17,144853,82695000,2021-04-12,0.25,103892.280098797,1,4,ensemble,1
weighted.mean_ensemble,Deaths,DE,2021-04-17,1569,82695000,2021-04-12,0.25,1137.91102606971,1,4,ensemble,1
weighted.mean_ensemble,Cases,DE,2021-04-24,136988,82695000,2021-04-12,0.25,98487.5366178277,2,4,ensemble,1
