model,location,target_type,target_end_date,true_value,population,forecast_date,quantile,prediction,horizon,n,model_type,availability
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.01,7267,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.01,474,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.01,6606,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.01,332,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.01,4088,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.01,179,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.01,2142,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.01,87,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.025,9671,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.025,501,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.025,7920,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.025,360,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.025,4396,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.025,203,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.025,2379,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.025,111,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.05,11738,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.05,523,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.05,8636,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.05,385,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.05,4960,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.05,228,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.05,2749,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.05,131,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.1,14122,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.1,546,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.1,9614,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.1,410,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.1,5896,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.1,257,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.1,3410,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.1,156,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.15,15730,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.15,564,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.15,10576,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.15,429,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.15,6644,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.15,285,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.15,4111,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.15,176,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.2,17008,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.2,579,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.2,11428,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.2,442,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.2,7443,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.2,302,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.2,4710,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.2,199,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.25,18105,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.25,592,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.25,12217,2,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-24,524,10591323,2021-04-12,0.25,453,2,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-01,14864,10591323,2021-04-12,0.25,8185,3,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-01,396,10591323,2021-04-12,0.25,309,3,4,ensemble,1
median_ensemble,CZ,Cases,2021-05-08,11403,10591323,2021-04-12,0.25,5482,4,4,ensemble,1
median_ensemble,CZ,Deaths,2021-05-08,331,10591323,2021-04-12,0.25,216,4,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-17,22369,10591323,2021-04-12,0.3,18923,1,4,ensemble,1
median_ensemble,CZ,Deaths,2021-04-17,662,10591323,2021-04-12,0.3,605,1,4,ensemble,1
median_ensemble,CZ,Cases,2021-04-24,17727,10591323,2021-04-12,0.3,13068,2,4,ensemble,1
